Application_name,Benchmark_name,[1]- Total no of Return statement:,[2]- Total no of Control Statement:,[3]- Total no of Allocation instruction:,[4]- Total no of Load Instructions:,[5]- Total no of Store Instructions:,[6]- Total no of Multiplication (Float Datatype) Operation:,[7]- Total no of Addition(Integer Datatype) Instruction:,[8]- Total no of Multiplication(Integer Datatype) Instruction:,[9]- Total no of Division(Float Datatype) instruction:,[10]-Total no of Division(Integer Datatype) instruction: ,[11]-Total no of Condition Check instruction:,[12]-Total no of Addition(Float Datatype) instruction:,[13]-Total no of Addition(Integer Datatype) instruction:,[14]-Total no of Subtraction(Float Datatype) instruction:,[15]-Total no of Subtraction(Integer Datatype) instruction:,[16]-Total no of Function Call instruction:,[17]-Total no of Functions:,[18]-Total no of Blocks:,[19]-Total no of Instructions:,[20]-Total no of Float Operation:,[21]-Total no of Integer Operation:,[22]-Total no of Loop Operation:,[23]-Total no of Loop:,Data_size,Base Clock (Ghz),Boost Clock (Ghz),Total Cores (#),Memory Size (GB),Memory bandwidth (GB/s),Performance (Single Precision) (GFLOPS),Instruction per cycle (#),Memory Speed (Ghz/Gbps),Execution Time in Seconds,System,System
gemm,polybench,1,6,0,4,2,2,2,1,0,0,3,0,2,0,0,1,4,7,29,6,26,0,0,512,0.98,1.033,1152,2,192.2,2257.9,2,6,0.0705549717,760_GPU_Execution_time,6
gesummv,polybench,1,5,0,8,3,1,1,0,0,0,2,0,1,0,0,3,4,6,29,8,22,0,0,1024,0.993,1.003,384,2,28.8,762,2,1.8,0.0715289115906,740_2_GPU_Execution_time,4
mvt,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,56,0,0,1024,0.993,1.003,384,2,28.8,762,2,1.8,0.0721600055695,740_2_GPU_Execution_time,4
gramschmidt,polybench,3,16,0,9,5,0,8,6,1,0,6,0,8,1,0,4,7,19,84,11,196,0,0,128,0.98,1.033,1152,2,192.2,2257.9,2,6,0.0723571777,760_GPU_Execution_time,6
matvecmul,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,2,63,0,0,4096,3.4,4,32,4,34.1,870.4,32,2.133,0.0727908611298,740_2_CPU_Execution_time,3
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,100,0.98,1.033,1152,2,192.2,2257.9,2,6,0.0729289055,760_GPU_Execution_time,6
gesummv,polybench,1,5,0,8,3,1,1,0,0,0,2,0,1,0,0,3,4,6,29,8,22,0,0,512,0.98,1.033,1152,2,192.2,2257.9,2,6,0.0731709003,760_GPU_Execution_time,6
gemm,polybench,1,6,0,4,2,2,2,1,0,0,3,0,2,0,0,1,4,7,29,6,26,0,0,256,0.98,1.033,1152,2,192.2,2257.9,2,6,0.0732719898,760_GPU_Execution_time,6
matvecmul,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,2,63,0,0,4096,0.993,1.003,384,2,28.8,762,2,1.8,0.0733020305634,740_2_GPU_Execution_time,4
syr2k,polybench,1,6,0,6,2,4,2,0,0,0,3,1,2,0,0,1,4,7,35,6,31,0,0,128,3.4,4,32,4,34.1,870.4,32,2.133,0.0734438896,740_1_CPU_Execution_time,1
syr2k,polybench,1,6,0,6,2,4,2,0,0,0,3,1,2,0,0,1,4,7,35,6,31,0,0,128,0.98,1.033,1152,2,192.2,2257.9,2,6,0.0736508369,760_GPU_Execution_time,6
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,125,0.993,1.003,384,2,28.8,762,2,1.8,0.0746810436249,740_2_GPU_Execution_time,4
syrk,polybench,1,6,0,4,2,2,2,0,0,0,3,0,2,0,0,1,4,7,28,5,25,0,0,256,0.993,1.003,384,2,28.8,762,2,1.8,0.0751478672028,740_2_GPU_Execution_time,4
correlation,polybench,4,26,0,14,12,1,21,5,3,0,9,1,21,2,0,4,8,30,136,16,294,6,6,128,0.98,1.033,1152,2,192.2,2257.9,2,6,0.076638937,760_GPU_Execution_time,6
atax,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,60,0,0,2048,0.98,1.033,1152,2,192.2,2257.9,2,6,0.0768239498,760_GPU_Execution_time,6
matvecmul,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,2,63,0,0,2048,0.98,1.033,1152,2,192.2,2257.9,2,6,0.0771257877,760_GPU_Execution_time,6
gemm,polybench,1,6,0,4,2,2,2,1,0,0,3,0,2,0,0,1,4,7,29,6,26,0,0,512,0.993,1.003,384,2,28.8,762,2,1.8,0.0777189731598,740_2_GPU_Execution_time,4
bicg,polybench,2,10,0,6,4,0,2,1,0,0,4,0,2,0,0,2,5,12,40,7,64,0,0,2048,0.98,1.033,1152,2,192.2,2257.9,2,6,0.0779309273,760_GPU_Execution_time,6
matvecmul,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,2,63,0,0,1024,3.4,4,32,4,34.1,870.4,32,2.133,0.0782420635,740_1_CPU_Execution_time,1
fdtd2d,polybench,3,12,0,12,4,0,4,1,0,0,6,1,4,4,0,3,6,15,72,11,225,0,0,128,0.98,1.033,1152,2,192.2,2257.9,2,6,0.078455925,760_GPU_Execution_time,6
mvt,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,56,0,0,2048,0.993,1.003,384,2,28.8,762,2,1.8,0.0805590153,740_1_GPU_Execution_time,2
mvt,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,56,0,0,512,0.98,1.033,1152,2,192.2,2257.9,2,6,0.0813801289,760_GPU_Execution_time,6
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,125,0.98,1.033,1152,2,192.2,2257.9,2,6,0.082711935,760_GPU_Execution_time,6
gesummv,polybench,1,5,0,8,3,1,1,0,0,0,2,0,1,0,0,3,4,6,29,8,22,0,0,2048,0.98,1.033,1152,2,192.2,2257.9,2,6,0.0844140053,760_GPU_Execution_time,6
mvt,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,56,0,0,2048,0.98,1.033,1152,2,192.2,2257.9,2,6,0.0852339268,760_GPU_Execution_time,6
