Application_name,Benchmark_name,[1]- Total no of Return statement:,[2]- Total no of Control Statement:,[3]- Total no of Allocation instruction:,[4]- Total no of Load Instructions:,[5]- Total no of Store Instructions:,[6]- Total no of Multiplication (Float Datatype) Operation:,[7]- Total no of Addition(Integer Datatype) Instruction:,[8]- Total no of Multiplication(Integer Datatype) Instruction:,[9]- Total no of Division(Float Datatype) instruction:,[10]-Total no of Division(Integer Datatype) instruction: ,[11]-Total no of Condition Check instruction:,[12]-Total no of Addition(Float Datatype) instruction:,[13]-Total no of Addition(Integer Datatype) instruction:,[14]-Total no of Subtraction(Float Datatype) instruction:,[15]-Total no of Subtraction(Integer Datatype) instruction:,[16]-Total no of Function Call instruction:,[17]-Total no of Functions:,[18]-Total no of Blocks:,[19]-Total no of Instructions:,[20]-Total no of Float Operation:,[21]-Total no of Integer Operation:,[22]-Total no of Loop Operation:,[23]-Total no of Loop:,Data_size,Base Clock (Ghz),Boost Clock (Ghz),Total Cores (#),Memory Size (GB),Memory bandwidth (GB/s),Performance (Single Precision) (GFLOPS),Instruction per cycle (#),Memory Speed (Ghz/Gbps),Execution Time in Seconds,System,System
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,150,3.4,4,32,4,34.1,870.4,32,2.133,0.1478629112,740_1_CPU_Execution_time,1
BitonicSort ,amd,6,7,5,8,7,5,7,6,5,5,6,5,7,5,5,5,8,8,24,5,60,5,6,262144,3.4,4,32,4,34.1,870.4,32,2.133,0.14863801,740_1_CPU_Execution_time,1
gesummv,polybench,1,5,0,8,3,1,1,0,0,0,2,0,1,0,0,3,4,6,29,8,22,0,0,2048,3.4,4,32,4,34.1,870.4,32,2.133,0.149495124817,740_2_CPU_Execution_time,3
gemm,polybench,1,6,0,4,2,2,2,1,0,0,3,0,2,0,0,1,4,7,29,6,26,0,0,256,3.4,4,32,4,34.1,870.4,32,2.133,0.150825023651,740_2_CPU_Execution_time,3
2DConvolution,polybench,1,3,0,9,1,1,11,3,0,0,4,0,11,0,4,10,5,4,68,6,40,0,0,2048,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1514968872,760_CPU_Execution_time,5
DCT ,amd,2,17,1,5,9,1,3,1,1,1,15,1,3,1,4,2,5,18,150,1,28,1,1,8192,3.4,4,32,4,34.1,870.4,32,2.133,0.1516160965,740_1_CPU_Execution_time,1
fdtd2d,polybench,3,12,0,12,4,0,4,1,0,0,6,1,4,4,0,3,6,15,72,11,225,0,0,128,3.4,4,32,4,34.1,870.4,32,2.133,0.1518318653,740_1_CPU_Execution_time,1
atax,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,60,0,0,512,0.993,1.003,384,2,28.8,762,2,1.8,0.152158975601,740_2_GPU_Execution_time,4
2mm,polybench,2,12,0,6,2,0,4,2,0,0,6,0,4,0,0,2,5,14,50,9,85,0,0,1024,0.98,1.033,1152,2,192.2,2257.9,2,6,0.1531260014,760_GPU_Execution_time,6
FloydWarshall ,amd,1,2,0,3,2,0,2,1,0,0,1,0,2,0,0,0,3,3,19,0,55,0,1,512,0.993,1.003,384,2,28.8,762,2,1.8,0.154197216,740_1_GPU_Execution_time,2
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,75,3.4,4,32,4,34.1,870.4,32,2.133,0.154657125473,740_2_CPU_Execution_time,3
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,150,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1547899246,760_CPU_Execution_time,5
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,225,0.993,1.003,384,2,28.8,762,2,1.8,0.1558701992,740_1_GPU_Execution_time,2
BitonicSort ,amd,6,7,5,8,7,5,7,6,5,5,6,5,7,5,5,5,8,8,24,5,60,5,6,4096,0.993,1.003,384,2,28.8,762,2,1.8,0.1571009159,740_1_GPU_Execution_time,2
PrefixSum ,amd,2,25,0,10,7,0,3,1,0,0,9,3,3,0,4,5,6,27,103,2,121,0,3,250,0.993,1.003,384,2,28.8,762,2,1.8,0.158617019653,740_2_GPU_Execution_time,4
mvt,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,56,0,0,2048,3.4,4,32,4,34.1,870.4,32,2.133,0.1586728096,740_1_CPU_Execution_time,1
covariance,polybench,3,18,0,9,7,0,15,4,1,0,7,1,15,1,0,1,6,21,84,9,141,5,5,256,3.4,4,32,4,34.1,870.4,32,2.133,0.158799886703,740_2_CPU_Execution_time,3
gesummv,polybench,1,5,0,8,3,1,1,0,0,0,2,0,1,0,0,3,4,6,29,8,22,0,0,4096,0.98,1.033,1152,2,192.2,2257.9,2,6,0.1590769291,760_GPU_Execution_time,6
PrefixSum ,amd,2,25,0,10,7,0,3,1,0,0,9,3,3,0,4,5,6,27,103,2,121,0,3,2000,0.993,1.003,384,2,28.8,762,2,1.8,0.15927696228,740_2_GPU_Execution_time,4
PrefixSum ,amd,2,25,0,10,7,0,3,1,0,0,9,3,3,0,4,5,6,27,103,2,121,0,3,500,0.98,1.033,1152,2,192.2,2257.9,2,6,0.159629106522,760_GPU_Execution_time,6
DCT ,amd,2,17,1,5,9,1,3,1,1,1,15,1,3,1,4,2,5,18,150,1,28,1,1,2048,0.993,1.003,384,2,28.8,762,2,1.8,0.159764051437,740_2_GPU_Execution_time,4
syr2k,polybench,1,6,0,6,2,4,2,0,0,0,3,1,2,0,0,1,4,7,35,6,31,0,0,128,0.993,1.003,384,2,28.8,762,2,1.8,0.160029888153,740_2_GPU_Execution_time,4
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,225,0.98,1.033,1152,2,192.2,2257.9,2,6,0.1602840424,760_GPU_Execution_time,6
2DConvolution,polybench,1,3,0,9,1,1,11,3,0,0,4,0,11,0,4,10,5,4,68,6,40,0,0,2048,3.4,4,32,4,34.1,870.4,32,2.133,0.160407066345,740_2_CPU_Execution_time,3
PrefixSum ,amd,2,25,0,10,7,0,3,1,0,0,9,3,3,0,4,5,6,27,103,2,121,0,3,500,0.993,1.003,384,2,28.8,762,2,1.8,0.160452127457,740_2_GPU_Execution_time,4
PrefixSum ,amd,2,25,0,10,7,0,3,1,0,0,9,3,3,0,4,5,6,27,103,2,121,0,3,1000,0.98,1.033,1152,2,192.2,2257.9,2,6,0.160490989685,760_GPU_Execution_time,6
MatrixMultiplication,amd,3,18,2,6,10,2,4,2,2,2,16,2,4,2,5,3,6,19,151,2,29,2,2,1024,0.993,1.003,384,2,28.8,762,2,1.8,0.160596847534,740_2_GPU_Execution_time,4
correlation,polybench,4,26,0,14,12,1,21,5,3,0,9,1,21,2,0,4,8,30,136,16,294,6,6,512,3.4,4,32,4,34.1,870.4,32,2.133,0.1609270573,740_1_CPU_Execution_time,1
ScanLargeArrays ,amd,3,18,0,26,19,0,0,2,0,0,4,7,0,0,5,10,7,21,128,35,129,0,0,65536,0.993,1.003,384,2,28.8,762,2,1.8,0.161034107208,740_2_GPU_Execution_time,4
gramschmidt,polybench,3,16,0,9,5,0,8,6,1,0,6,0,8,1,0,4,7,19,84,11,196,0,0,128,3.4,4,32,4,34.1,870.4,32,2.133,0.1610870361,740_1_CPU_Execution_time,1
PrefixSum ,amd,2,25,0,10,7,0,3,1,0,0,9,3,3,0,4,5,6,27,103,2,121,0,3,1000,0.993,1.003,384,2,28.8,762,2,1.8,0.161128997803,740_2_GPU_Execution_time,4
PrefixSum ,amd,2,25,0,10,7,0,3,1,0,0,9,3,3,0,4,5,6,27,103,2,121,0,3,250,0.98,1.033,1152,2,192.2,2257.9,2,6,0.161352872849,760_GPU_Execution_time,6
PrefixSum ,amd,2,25,0,10,7,0,3,1,0,0,9,3,3,0,4,5,6,27,103,2,121,0,3,2000,0.98,1.033,1152,2,192.2,2257.9,2,6,0.16135597229,760_GPU_Execution_time,6
FastWalshTransform ,amd,1,8,0,2,4,0,2,2,0,0,3,0,2,0,2,1,4,9,40,0,59,0,0,131072,0.993,1.003,384,2,28.8,762,2,1.8,0.161388874054,740_2_GPU_Execution_time,4
MatrixMultiplication,amd,3,18,2,6,10,2,4,2,2,2,16,2,4,2,5,3,6,19,151,2,29,2,2,1024,0.98,1.033,1152,2,192.2,2257.9,2,6,0.161537885666,760_GPU_Execution_time,6
DwtHaar1D ,amd,1,11,0,4,4,3,2,1,0,1,4,1,2,1,0,6,6,12,64,18,18,0,0,2097152,0.993,1.003,384,2,28.8,762,2,1.8,0.161604166,740_1_GPU_Execution_time,2
matvecmul,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,2,63,0,0,4096,3.4,4,32,4,34.1,870.4,32,2.133,0.1616580486,740_1_CPU_Execution_time,1
DCT ,amd,2,17,1,5,9,1,3,1,1,1,15,1,3,1,4,2,5,18,150,1,28,1,1,4096,0.993,1.003,384,2,28.8,762,2,1.8,0.16167807579,740_2_GPU_Execution_time,4
Reduction ,amd,1,7,0,5,3,0,2,0,0,0,1,0,2,0,0,3,5,8,29,2,30,0,1,65536,0.993,1.003,384,2,28.8,762,2,1.8,0.161801099777,740_2_GPU_Execution_time,4
covariance,polybench,3,18,0,9,7,0,15,4,1,0,7,1,15,1,0,1,6,21,84,9,141,5,5,512,3.4,4,32,4,34.1,870.4,32,2.133,0.1619641781,740_1_CPU_Execution_time,1
Reduction ,amd,1,7,0,5,3,0,2,0,0,0,1,0,2,0,0,3,5,8,29,2,30,0,1,65536,0.98,1.033,1152,2,192.2,2257.9,2,6,0.162240982056,760_GPU_Execution_time,6
ScanLargeArrays ,amd,3,18,0,26,19,0,0,2,0,0,4,7,0,0,5,10,7,21,128,35,129,0,0,65536,0.98,1.033,1152,2,192.2,2257.9,2,6,0.162273168564,760_GPU_Execution_time,6
DCT ,amd,2,17,1,5,9,1,3,1,1,1,15,1,3,1,4,2,5,18,150,1,28,1,1,2048,0.98,1.033,1152,2,192.2,2257.9,2,6,0.162490129471,760_GPU_Execution_time,6
FastWalshTransform ,amd,1,8,0,2,4,0,2,2,0,0,3,0,2,0,2,1,4,9,40,0,59,0,0,131072,3.4,4,32,4,34.1,870.4,32,2.133,0.1628479958,740_1_CPU_Execution_time,1
MatrixMultiplication,amd,3,18,2,6,10,2,4,2,2,2,16,2,4,2,5,3,6,19,151,2,29,2,2,2048,0.98,1.033,1152,2,192.2,2257.9,2,6,0.16316986084,760_GPU_Execution_time,6
DwtHaar1D ,amd,1,11,0,4,4,3,2,1,0,1,4,1,2,1,0,6,6,12,64,18,18,0,0,65536,0.993,1.003,384,2,28.8,762,2,1.8,0.163302183151,740_2_GPU_Execution_time,4
FastWalshTransform ,amd,1,8,0,2,4,0,2,2,0,0,3,0,2,0,2,1,4,9,40,0,59,0,0,131072,0.98,1.033,1152,2,192.2,2257.9,2,6,0.163345098495,760_GPU_Execution_time,6
BitonicSort ,amd,6,7,5,8,7,5,7,6,5,5,6,5,7,5,5,5,8,8,24,5,60,5,6,32768,0.993,1.003,384,2,28.8,762,2,1.8,0.16335105896,740_2_GPU_Execution_time,4
DwtHaar1D ,amd,1,11,0,4,4,3,2,1,0,1,4,1,2,1,0,6,6,12,64,18,18,0,0,65536,0.98,1.033,1152,2,192.2,2257.9,2,6,0.16339302063,760_GPU_Execution_time,6
ScanLargeArrays ,amd,3,18,0,26,19,0,0,2,0,0,4,7,0,0,5,10,7,21,128,35,129,0,0,524288,3.4,4,32,4,34.1,870.4,32,2.133,0.1636419296,740_1_CPU_Execution_time,1
2DConvolution,polybench,1,3,0,9,1,1,11,3,0,0,4,0,11,0,4,10,5,4,68,6,40,0,0,512,3.4,4,32,4,34.1,870.4,32,2.133,0.163723945618,740_2_CPU_Execution_time,3
MatrixMultiplication,amd,3,18,2,6,10,2,4,2,2,2,16,2,4,2,5,3,6,19,151,2,29,2,2,2048,0.993,1.003,384,2,28.8,762,2,1.8,0.164268016815,740_2_GPU_Execution_time,4
BitonicSort ,amd,6,7,5,8,7,5,7,6,5,5,6,5,7,5,5,5,8,8,24,5,60,5,6,32768,0.98,1.033,1152,2,192.2,2257.9,2,6,0.164433002472,760_GPU_Execution_time,6
DCT ,amd,2,17,1,5,9,1,3,1,1,1,15,1,3,1,4,2,5,18,150,1,28,1,1,4096,0.98,1.033,1152,2,192.2,2257.9,2,6,0.164818048477,760_GPU_Execution_time,6
MatrixTranspose ,amd,1,0,0,8,8,0,21,14,0,0,0,0,21,0,0,8,9,1,125,12,73,0,0,512,0.993,1.003,384,2,28.8,762,2,1.8,0.164827108383,740_2_GPU_Execution_time,4
atax,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,60,0,0,4096,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1650750637,760_CPU_Execution_time,5
syr2k,polybench,1,6,0,6,2,4,2,0,0,0,3,1,2,0,0,1,4,7,35,6,31,0,0,512,0.98,1.033,1152,2,192.2,2257.9,2,6,0.166437149,760_GPU_Execution_time,6
MatrixMultiplication,amd,3,18,2,6,10,2,4,2,2,2,16,2,4,2,5,3,6,19,151,2,29,2,2,4096,0.993,1.003,384,2,28.8,762,2,1.8,0.166546106339,740_2_GPU_Execution_time,4
DCT ,amd,2,17,1,5,9,1,3,1,1,1,15,1,3,1,4,2,5,18,150,1,28,1,1,4096,3.4,4,32,4,34.1,870.4,32,2.133,0.1666939259,740_1_CPU_Execution_time,1
correlation,polybench,4,26,0,14,12,1,21,5,3,0,9,1,21,2,0,4,8,30,136,16,294,6,6,128,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1668419838,760_CPU_Execution_time,5
DCT ,amd,2,17,1,5,9,1,3,1,1,1,15,1,3,1,4,2,5,18,150,1,28,1,1,8192,0.993,1.003,384,2,28.8,762,2,1.8,0.166874885559,740_2_GPU_Execution_time,4
MatrixTranspose ,amd,1,0,0,8,8,0,21,14,0,0,0,0,21,0,0,8,9,1,125,12,73,0,0,512,0.98,1.033,1152,2,192.2,2257.9,2,6,0.16704082489,760_GPU_Execution_time,6
MatrixMultiplication,amd,3,18,2,6,10,2,4,2,2,2,16,2,4,2,5,3,6,19,151,2,29,2,2,5120,0.98,1.033,1152,2,192.2,2257.9,2,6,0.167058944702,760_GPU_Execution_time,6
MatrixMultiplication,amd,3,18,2,6,10,2,4,2,2,2,16,2,4,2,5,3,6,19,151,2,29,2,2,5120,0.993,1.003,384,2,28.8,762,2,1.8,0.167147874832,740_2_GPU_Execution_time,4
mvt,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,56,0,0,2048,3.4,4,32,4,34.1,870.4,32,2.133,0.16716003418,740_2_CPU_Execution_time,3
correlation,polybench,4,26,0,14,12,1,21,5,3,0,9,1,21,2,0,4,8,30,136,16,294,6,6,128,0.993,1.003,384,2,28.8,762,2,1.8,0.1674878597,740_1_GPU_Execution_time,2
MatrixMultiplication,amd,3,18,2,6,10,2,4,2,2,2,16,2,4,2,5,3,6,19,151,2,29,2,2,4096,0.98,1.033,1152,2,192.2,2257.9,2,6,0.167600154877,760_GPU_Execution_time,6
BinomialOptionMultiGPU,amd,1,0,0,2,2,0,2,2,0,0,0,1,2,1,0,1,4,1,18,6,12,0,0,16384,0.98,1.033,1152,2,192.2,2257.9,2,6,0.167897939682,760_GPU_Execution_time,6
BitonicSort ,amd,6,7,5,8,7,5,7,6,5,5,6,5,7,5,5,5,8,8,24,5,60,5,6,32768,3.4,4,32,4,34.1,870.4,32,2.133,0.168141841888,740_2_CPU_Execution_time,3
BitonicSort ,amd,6,7,5,8,7,5,7,6,5,5,6,5,7,5,5,5,8,8,24,5,60,5,6,262144,0.98,1.033,1152,2,192.2,2257.9,2,6,0.168700933456,760_GPU_Execution_time,6
BinomialOption ,amd,1,0,0,2,2,0,2,2,0,0,0,1,2,1,0,1,4,1,18,6,12,0,0,16384,0.98,1.033,1152,2,192.2,2257.9,2,6,0.168733119965,760_GPU_Execution_time,6
DwtHaar1D ,amd,1,11,0,4,4,3,2,1,0,1,4,1,2,1,0,6,6,12,64,18,18,0,0,262144,0.98,1.033,1152,2,192.2,2257.9,2,6,0.169219970703,760_GPU_Execution_time,6
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,175,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1701719761,760_CPU_Execution_time,5
ScanLargeArrays ,amd,3,18,0,26,19,0,0,2,0,0,4,7,0,0,5,10,7,21,128,35,129,0,0,524288,0.98,1.033,1152,2,192.2,2257.9,2,6,0.170222997665,760_GPU_Execution_time,6
Reduction ,amd,1,7,0,5,3,0,2,0,0,0,1,0,2,0,0,3,5,8,29,2,30,0,1,524288,0.993,1.003,384,2,28.8,762,2,1.8,0.170305967331,740_2_GPU_Execution_time,4
DCT ,amd,2,17,1,5,9,1,3,1,1,1,15,1,3,1,4,2,5,18,150,1,28,1,1,8192,0.98,1.033,1152,2,192.2,2257.9,2,6,0.170308113098,760_GPU_Execution_time,6
2mm,polybench,2,12,0,6,2,0,4,2,0,0,6,0,4,0,0,2,5,14,50,9,85,0,0,512,0.993,1.003,384,2,28.8,762,2,1.8,0.170353889465,740_2_GPU_Execution_time,4
Reduction ,amd,1,7,0,5,3,0,2,0,0,0,1,0,2,0,0,3,5,8,29,2,30,0,1,524288,0.98,1.033,1152,2,192.2,2257.9,2,6,0.170746088028,760_GPU_Execution_time,6
ScanLargeArrays ,amd,3,18,0,26,19,0,0,2,0,0,4,7,0,0,5,10,7,21,128,35,129,0,0,524288,0.993,1.003,384,2,28.8,762,2,1.8,0.170851945877,740_2_GPU_Execution_time,4
FastWalshTransform ,amd,1,8,0,2,4,0,2,2,0,0,3,0,2,0,2,1,4,9,40,0,59,0,0,131072,3.4,4,32,4,34.1,870.4,32,2.133,0.171636104584,740_2_CPU_Execution_time,3
gemm,polybench,1,6,0,4,2,2,2,1,0,0,3,0,2,0,0,1,4,7,29,6,26,0,0,1024,0.993,1.003,384,2,28.8,762,2,1.8,0.1716940403,740_1_GPU_Execution_time,2
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,200,0.993,1.003,384,2,28.8,762,2,1.8,0.172341108322,740_2_GPU_Execution_time,4
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,150,3.4,4,32,4,34.1,870.4,32,2.133,0.172523975372,740_2_CPU_Execution_time,3
Reduction ,amd,1,7,0,5,3,0,2,0,0,0,1,0,2,0,0,3,5,8,29,2,30,0,1,8192,3.4,4,32,4,34.1,870.4,32,2.133,0.1728258133,740_1_CPU_Execution_time,1
BitonicSort ,amd,6,7,5,8,7,5,7,6,5,5,6,5,7,5,5,5,8,8,24,5,60,5,6,32768,3.2,3.4,16,8,25.6,409.6,32,1.6,0.17286491394,760_CPU_Execution_time,5
gesummv,polybench,1,5,0,8,3,1,1,0,0,0,2,0,1,0,0,3,4,6,29,8,22,0,0,512,3.4,4,32,4,34.1,870.4,32,2.133,0.173331022263,740_2_CPU_Execution_time,3
BitonicSort ,amd,6,7,5,8,7,5,7,6,5,5,6,5,7,5,5,5,8,8,24,5,60,5,6,262144,0.993,1.003,384,2,28.8,762,2,1.8,0.173624038696,740_2_GPU_Execution_time,4
DCT ,amd,2,17,1,5,9,1,3,1,1,1,15,1,3,1,4,2,5,18,150,1,28,1,1,14336,0.993,1.003,384,2,28.8,762,2,1.8,0.173815965652,740_2_GPU_Execution_time,4
DwtHaar1D ,amd,1,11,0,4,4,3,2,1,0,1,4,1,2,1,0,6,6,12,64,18,18,0,0,262144,0.993,1.003,384,2,28.8,762,2,1.8,0.173856019974,740_2_GPU_Execution_time,4
bicg,polybench,2,10,0,6,4,0,2,1,0,0,4,0,2,0,0,2,5,12,40,7,64,0,0,4096,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1741390228,760_CPU_Execution_time,5
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,175,3.4,4,32,4,34.1,870.4,32,2.133,0.1745939255,740_1_CPU_Execution_time,1
Reduction ,amd,1,7,0,5,3,0,2,0,0,0,1,0,2,0,0,3,5,8,29,2,30,0,1,65536,3.4,4,32,4,34.1,870.4,32,2.133,0.1751539707,740_1_CPU_Execution_time,1
DCT ,amd,2,17,1,5,9,1,3,1,1,1,15,1,3,1,4,2,5,18,150,1,28,1,1,14336,0.98,1.033,1152,2,192.2,2257.9,2,6,0.176748991013,760_GPU_Execution_time,6
syrk,polybench,1,6,0,4,2,2,2,0,0,0,3,0,2,0,0,1,4,7,28,5,25,0,0,512,0.993,1.003,384,2,28.8,762,2,1.8,0.178057909,740_1_GPU_Execution_time,2
mvt,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,56,0,0,512,0.993,1.003,384,2,28.8,762,2,1.8,0.179157018661,740_2_GPU_Execution_time,4
FastWalshTransform ,amd,1,8,0,2,4,0,2,2,0,0,3,0,2,0,2,1,4,9,40,0,59,0,0,1048576,0.98,1.033,1152,2,192.2,2257.9,2,6,0.179636001587,760_GPU_Execution_time,6
DCT ,amd,2,17,1,5,9,1,3,1,1,1,15,1,3,1,4,2,5,18,150,1,28,1,1,8192,3.4,4,32,4,34.1,870.4,32,2.133,0.179805994034,740_2_CPU_Execution_time,3
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,175,3.4,4,32,4,34.1,870.4,32,2.133,0.180457115173,740_2_CPU_Execution_time,3
DCT ,amd,2,17,1,5,9,1,3,1,1,1,15,1,3,1,4,2,5,18,150,1,28,1,1,14336,3.4,4,32,4,34.1,870.4,32,2.133,0.1804988384,740_1_CPU_Execution_time,1
FastWalshTransform ,amd,1,8,0,2,4,0,2,2,0,0,3,0,2,0,2,1,4,9,40,0,59,0,0,32768,3.2,3.4,16,8,25.6,409.6,32,1.6,0.180509805679,760_CPU_Execution_time,5
FastWalshTransform ,amd,1,8,0,2,4,0,2,2,0,0,3,0,2,0,2,1,4,9,40,0,59,0,0,1048576,0.993,1.003,384,2,28.8,762,2,1.8,0.181341171265,740_2_GPU_Execution_time,4
ScanLargeArrays ,amd,3,18,0,26,19,0,0,2,0,0,4,7,0,0,5,10,7,21,128,35,129,0,0,65536,3.4,4,32,4,34.1,870.4,32,2.133,0.181489944458,740_2_CPU_Execution_time,3
BitonicSort ,amd,6,7,5,8,7,5,7,6,5,5,6,5,7,5,5,5,8,8,24,5,60,5,6,262144,3.4,4,32,4,34.1,870.4,32,2.133,0.181872844696,740_2_CPU_Execution_time,3
FastWalshTransform ,amd,1,8,0,2,4,0,2,2,0,0,3,0,2,0,2,1,4,9,40,0,59,0,0,1048576,3.4,4,32,4,34.1,870.4,32,2.133,0.1825170517,740_1_CPU_Execution_time,1
BlackScholes ,amd,5,1,5,11,7,24,3,3,11,1,2,3,3,21,1,47,10,5,158,271,57,1,1,1048576,0.98,1.033,1152,2,192.2,2257.9,2,6,0.184711933136,760_GPU_Execution_time,6
gesummv,polybench,1,5,0,8,3,1,1,0,0,0,2,0,1,0,0,3,4,6,29,8,22,0,0,4096,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1852247715,760_CPU_Execution_time,5
BlackScholes ,amd,5,1,5,11,7,24,3,3,11,1,2,3,3,21,1,47,10,5,158,271,57,1,1,1048576,0.993,1.003,384,2,28.8,762,2,1.8,0.186695098877,740_2_GPU_Execution_time,4
bicg,polybench,2,10,0,6,4,0,2,1,0,0,4,0,2,0,0,2,5,12,40,7,64,0,0,512,0.993,1.003,384,2,28.8,762,2,1.8,0.18679189682,740_2_GPU_Execution_time,4
ScanLargeArrays ,amd,3,18,0,26,19,0,0,2,0,0,4,7,0,0,5,10,7,21,128,35,129,0,0,65536,3.4,4,32,4,34.1,870.4,32,2.133,0.1875619888,740_1_CPU_Execution_time,1
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,200,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1877579689,760_CPU_Execution_time,5
Reduction ,amd,1,7,0,5,3,0,2,0,0,0,1,0,2,0,0,3,5,8,29,2,30,0,1,524288,3.4,4,32,4,34.1,870.4,32,2.133,0.1879711151,740_1_CPU_Execution_time,1
FastWalshTransform ,amd,1,8,0,2,4,0,2,2,0,0,3,0,2,0,2,1,4,9,40,0,59,0,0,131072,3.2,3.4,16,8,25.6,409.6,32,1.6,0.188326120377,760_CPU_Execution_time,5
ScanLargeArrays ,amd,3,18,0,26,19,0,0,2,0,0,4,7,0,0,5,10,7,21,128,35,129,0,0,8192,3.4,4,32,4,34.1,870.4,32,2.133,0.1884040833,740_1_CPU_Execution_time,1
DwtHaar1D ,amd,1,11,0,4,4,3,2,1,0,1,4,1,2,1,0,6,6,12,64,18,18,0,0,65536,3.4,4,32,4,34.1,870.4,32,2.133,0.1889400482,740_1_CPU_Execution_time,1
DCT ,amd,2,17,1,5,9,1,3,1,1,1,15,1,3,1,4,2,5,18,150,1,28,1,1,4096,3.4,4,32,4,34.1,870.4,32,2.133,0.189363956451,740_2_CPU_Execution_time,3
gemm,polybench,1,6,0,4,2,2,2,1,0,0,3,0,2,0,0,1,4,7,29,6,26,0,0,1024,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1894638538,760_CPU_Execution_time,5
BinomialOption ,amd,1,0,0,2,2,0,2,2,0,0,0,1,2,1,0,1,4,1,18,6,12,0,0,16384,0.993,1.003,384,2,28.8,762,2,1.8,0.190470933914,740_2_GPU_Execution_time,4
gramschmidt,polybench,3,16,0,9,5,0,8,6,1,0,6,0,8,1,0,4,7,19,84,11,196,0,0,512,3.4,4,32,4,34.1,870.4,32,2.133,0.19052195549,740_2_CPU_Execution_time,3
atax,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,60,0,0,4096,0.993,1.003,384,2,28.8,762,2,1.8,0.1909880638,740_1_GPU_Execution_time,2
BitonicSort ,amd,6,7,5,8,7,5,7,6,5,5,6,5,7,5,5,5,8,8,24,5,60,5,6,4096,3.2,3.4,16,8,25.6,409.6,32,1.6,0.191231966019,760_CPU_Execution_time,5
covariance,polybench,3,18,0,9,7,0,15,4,1,0,7,1,15,1,0,1,6,21,84,9,141,5,5,512,3.4,4,32,4,34.1,870.4,32,2.133,0.19163608551,740_2_CPU_Execution_time,3
bicg,polybench,2,10,0,6,4,0,2,1,0,0,4,0,2,0,0,2,5,12,40,7,64,0,0,4096,0.993,1.003,384,2,28.8,762,2,1.8,0.191806078,740_1_GPU_Execution_time,2
BinomialOptionMultiGPU,amd,1,0,0,2,2,0,2,2,0,0,0,1,2,1,0,1,4,1,18,6,12,0,0,16384,0.993,1.003,384,2,28.8,762,2,1.8,0.192883968353,740_2_GPU_Execution_time,4
MatrixTranspose ,amd,1,0,0,8,8,0,21,14,0,0,0,0,21,0,0,8,9,1,125,12,73,0,0,512,3.4,4,32,4,34.1,870.4,32,2.133,0.1933488846,740_1_CPU_Execution_time,1
DCT ,amd,2,17,1,5,9,1,3,1,1,1,15,1,3,1,4,2,5,18,150,1,28,1,1,2048,3.4,4,32,4,34.1,870.4,32,2.133,0.193802118301,740_2_CPU_Execution_time,3
BlackScholesDP ,amd,6,7,5,8,7,5,7,6,5,5,6,5,7,5,5,5,8,8,24,5,60,5,6,1048576,0.98,1.033,1152,2,192.2,2257.9,2,6,0.194440126419,760_GPU_Execution_time,6
